pick_number,round,pick_in_round,team,player_name,player_type,position_bucket,eligible_positions,roster_bucket,current_level,dynasty_rank,adp,injury_status,transaction_status,rationale
328,33,8,Shane,Brandon Lowe,hitter,2B,2B,MLB,MLB,241,267.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Brandon Lowe fit as a 2b contributor; dynasty rank 241; market ADP 267.0; team OBP build needed reinforcement."
333,34,3,Shane,Jake Cronenworth,hitter,SS,2B/1B/SS,MLB,MLB,493,273.0,,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Jake Cronenworth fit as a ss contributor; dynasty rank 493; market ADP 273.0; team OBP build needed reinforcement."
348,35,8,Shane,Brandon Marsh,hitter,OF,OF,MLB,MLB,487,242.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Brandon Marsh fit as a of contributor; dynasty rank 487; market ADP 242.0; team OBP build needed reinforcement."
353,36,3,Shane,Raisel Iglesias,pitcher,RP,RP,MLB,MLB,169,307.0,,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Raisel Iglesias fit as a late-inning reliever; dynasty rank 169; market ADP 307.0."
368,37,8,Shane,Pete Fairbanks,pitcher,RP,RP,MLB,MLB,359,311.0,,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Pete Fairbanks fit as a late-inning reliever; dynasty rank 359; market ADP 311.0."
373,38,3,Shane,Hao-Yu Lee,hitter,2B,3B/2B/INFIELDER,Minors,MLB,1238,1339.0,,Recalled,"Shane prioritized clear jobs, volume paths, and role-change usability; Hao-Yu Lee fit as a 2b contributor; dynasty rank 1238; market ADP 1339.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
388,39,8,Shane,Mike Sirota,hitter,OF,OF/CF/OUTFIELDER,Minors,High-A,292,1053.0,,Assigned,"Shane prioritized clear jobs, volume paths, and role-change usability; Mike Sirota fit as a of contributor; dynasty rank 292; market ADP 1053.0; as a minor-league stash; minor-slot pressure required prospect inventory."
393,40,3,Shane,Thayron Liranzo,hitter,C,C/CATCHER,Minors,MLB,1295,1580.0,,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Thayron Liranzo fit as a c contributor; dynasty rank 1295; market ADP 1580.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
408,41,8,Shane,Kahlil Watson,hitter,SS,SS/LF/OUTFIELDER,Minors,MLB,1203,1335.0,,Recalled,"Shane prioritized clear jobs, volume paths, and role-change usability; Kahlil Watson fit as a ss contributor; dynasty rank 1203; market ADP 1335.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
413,42,3,Shane,Enrique Bradfield Jr.,hitter,OF,OF/OUTFIELDER,Minors,MLB,1384,1431.0,,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Enrique Bradfield Jr. fit as a of contributor; dynasty rank 1384; market ADP 1431.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
428,43,8,Shane,A.J. Ewing,hitter,SS,SS/INFIELDER,Minors,AA,2454,2955.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; A.J. Ewing fit as a ss contributor; dynasty rank 2454; market ADP 2955.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
433,44,3,Shane,Daniel Susac,hitter,C,C/CATCHER,Minors,MLB,856,939.0,10-day Injured List,Status Change,"Shane prioritized clear jobs, volume paths, and role-change usability; Daniel Susac fit as a c contributor; dynasty rank 856; market ADP 939.0; as a minor-league stash; minor-slot pressure required prospect inventory; upper-minors proximity improved the stash appeal."
448,45,8,Shane,Theo Gillen,hitter,OF,OF/OUTFIELDER,Minors,Single-A,375,1609.0,,Assigned,"Shane prioritized clear jobs, volume paths, and role-change usability; Theo Gillen fit as a of contributor; dynasty rank 375; market ADP 1609.0; as a minor-league stash; minor-slot pressure required prospect inventory."
449,FA,,Shane,J.T. Realmuto,hitter,C,C,MLB,MLB,439,309.0,,Status Change,FA acquisition replacing Tatsuya Imai.
450,FA,,Shane,Owen Caissie,hitter,RF,OF/RF/OUTFIELDER,MLB,MLB,361,241.0,,Status Change,Auto-added as an IL replacement for Brendan Donovan.
451,FA,,Shane,Brady Singer,pitcher,P,SP,MLB,MLB,398,189.0,,,Auto-added as an IL replacement for Nick Pivetta.
452,FA,,Shane,Chris Bassitt,pitcher,P,SP,MLB,MLB,522,230.0,15-day Injured List,Status Change,Auto-added as an IL replacement for Raisel Iglesias.
453,FA,,Shane,Tyler Freeman,hitter,RF,OF/2B/RF/OUTFIELDER,MLB,MLB,534,418.0,,Status Change,FA acquisition replacing Tyler O’Neill.
454,FA,,Shane,Davis Schneider,hitter,LF,2B/OF/LF/OUTFIELDER,MLB,MLB,536,399.0,,Recalled,Auto-added as an IL replacement for Ronald Acuna Jr..
455,FA,,Shane,Robert Suarez,pitcher,P,RP,MLB,MLB,345,426.0,15-day Injured List,Status Change,Auto-added as an IL replacement for Garrett Crochet.
456,FA,,Shane,Seranthony Dominguez,pitcher,P,RP,MLB,MLB,589,407.0,,Signed as Free Agent,Auto-added as an IL replacement for Pete Fairbanks.
457,FA,,Shane,Jacob Young,hitter,CF,OF/CF/OUTFIELDER,MLB,MLB,544,441.0,,,Auto-added as an IL replacement for Jake Cronenworth.
458,FA,,Shane,Kyle Teel,hitter,C,C,MLB,MLB,213,216.0,10-day Injured List,Status Change,Auto-added as an IL replacement for Ryan O’Hearn.
460,FA,,Shane,Justin Verlander,pitcher,P,SP,MLB,MLB,603,361.0,,Signed as Free Agent,FA acquisition replacing Cole Young.
461,FA,,Shane,Davis Martin,pitcher,P,SP/P/PITCHER,MLB,MLB,524,280.0,,,FA acquisition replacing Carson Kelly.
462,FA,,Shane,Kyle Freeland,pitcher,P,SP,MLB,MLB,535,277.0,,,Auto-added as an IL replacement for Eury Perez.
463,FA,,Shane,Nick Martinez,pitcher,P,SP,MLB,MLB,552,306.0,,Signed as Free Agent,Auto-added as an IL replacement for Chris Bassitt.
466,FA,,Shane,Will Vest,pitcher,P,RP,MLB,MLB,407,467.0,15-day Injured List,Status Change,Auto-added as an IL replacement for Daniel Palencia.
467,FA,,Shane,Hunter Harvey,pitcher,P,RP/P/PITCHER,MLB,MLB,633,473.0,,,FA acquisition replacing Nick Castellanos.
468,FA,,Shane,Quinn Priester,pitcher,P,SP,MLB,,267,284.0,,,FA acquisition replacing Will Benson.
469,FA,,Shane,Simeon Woods Richardson,pitcher,P,SP/P/PITCHER,MLB,MLB,403,331.0,,,Auto-added as an IL replacement for Robert Suarez.
472,FA,,Shane,Michael Lorenzen,pitcher,P,SP/P/PITCHER,MLB,MLB,568,352.0,,Signed as Free Agent,Auto-added as an IL replacement for Will Vest.
473,FA,,Shane,Kevin Ginkel,pitcher,P,RP/P/PITCHER,MLB,MLB,670,510.0,,,FA acquisition replacing Luis Campusano.
474,FA,,Shane,Ben Brown,pitcher,P,RP/P/PITCHER,MLB,MLB,451,497.0,,,FA acquisition replacing Kyle Higashioka.
