pick_number,round,pick_in_round,team,player_name,player_type,position_bucket,eligible_positions,roster_bucket,current_level,dynasty_rank,adp,injury_status,transaction_status,rationale
101,11,1,Chris,Byron Buxton,hitter,OF,OF,MLB,MLB,91,115.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Byron Buxton fit as a of contributor; dynasty rank 91; market ADP 115.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
120,12,10,Chris,Emmet Sheehan,pitcher,SP,SP,MLB,MLB,127,119.5,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Emmet Sheehan fit as a sp contributor; dynasty rank 127; market ADP 119.5; MLB-slot pressure required immediate production."
121,13,1,Chris,Nico Hoerner,hitter,SS,2B/SS,MLB,MLB,139,159.5,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Nico Hoerner fit as a speed-impact bat; dynasty rank 139; market ADP 159.5; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
140,14,10,Chris,TJ Friedl,hitter,OF,OF,MLB,MLB,348,147.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; TJ Friedl fit as a of contributor; dynasty rank 348; market ADP 147.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
141,15,1,Chris,Kyle Bradish,pitcher,SP,SP,MLB,MLB,119,143.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Kyle Bradish fit as a sp contributor; dynasty rank 119; market ADP 143.0; MLB-slot pressure required immediate production."
160,16,10,Chris,Jake Burger,hitter,1B,1B,MLB,MLB,369,154.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Jake Burger fit as a 1b contributor; dynasty rank 369; market ADP 154.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
161,17,1,Chris,Otto Lopez,hitter,SS,2B/SS,MLB,MLB,254,181.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Otto Lopez fit as a ss contributor; dynasty rank 254; market ADP 181.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
180,18,10,Chris,Andres Gimenez,hitter,SS,2B/SS,MLB,MLB,412,177.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Andres Gimenez fit as a ss contributor; dynasty rank 412; market ADP 177.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement."
181,19,1,Chris,Brady Singer,pitcher,SP,SP,MLB,MLB,368,188.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Brady Singer fit as a sp contributor; dynasty rank 368; market ADP 188.0; MLB-slot pressure required immediate production."
200,20,10,Chris,Shane Smith,pitcher,SP,SP,MLB,MLB,274,211.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Shane Smith fit as a sp contributor; dynasty rank 274; market ADP 211.0; MLB-slot pressure required immediate production."
201,21,1,Chris,Zac Gallen,pitcher,SP,SP,MLB,MLB,250,214.0,,Assigned,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Zac Gallen fit as a sp contributor; dynasty rank 250; market ADP 214.0; MLB-slot pressure required immediate production."
220,22,10,Chris,Casey Mize,pitcher,SP,SP,MLB,MLB,249,235.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Casey Mize fit as a sp contributor; dynasty rank 249; market ADP 235.0; MLB-slot pressure required immediate production."
221,23,1,Chris,Caleb Durbin,hitter,2B,3B/2B,MLB,MLB,292,216.0,,Trade,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Caleb Durbin fit as a 2b contributor; dynasty rank 292; market ADP 216.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement."
240,24,10,Chris,Matt Wallner,hitter,OF,OF,MLB,MLB,329,223.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Matt Wallner fit as a of contributor; dynasty rank 329; market ADP 223.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement."
241,25,1,Chris,Colt Keith,hitter,2B,2B/3B/1B,MLB,MLB,284,242.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Colt Keith fit as a 2b contributor; dynasty rank 284; market ADP 242.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement."
260,26,10,Chris,Brendan Donovan,hitter,2B,2B/OF,MLB,MLB,259,271.0,,Trade,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Brendan Donovan fit as a 2b contributor; dynasty rank 259; market ADP 271.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement."
261,27,1,Chris,Dansby Swanson,hitter,SS,SS,MLB,MLB,219,263.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Dansby Swanson fit as a ss contributor; dynasty rank 219; market ADP 263.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement."
280,28,10,Chris,Ryan Jeffers,hitter,C,C,MLB,MLB,444,255.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Ryan Jeffers fit as a c contributor; dynasty rank 444; market ADP 255.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement."
281,29,1,Chris,Ryne Nelson,pitcher,SP,SP,MLB,MLB,287,254.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Ryne Nelson fit as a sp contributor; dynasty rank 287; market ADP 254.0; MLB-slot pressure required immediate production."
300,30,10,Chris,Quinn Priester,pitcher,SP,SP,MLB,MLB,255,284.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Quinn Priester fit as a sp contributor; dynasty rank 255; market ADP 284.0; MLB-slot pressure required immediate production."
