pick_number,round,pick_in_round,team,player_name,player_type,position_bucket,eligible_positions,roster_bucket,current_level,dynasty_rank,adp,injury_status,transaction_status,rationale
151,16,1,Josh V,Nick Lodolo,pitcher,SP,SP,MLB,MLB,128,155.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Nick Lodolo fit as a sp contributor; dynasty rank 128; market ADP 155.0; MLB-slot pressure required immediate production.
170,17,10,Josh V,Andrew Abbott,pitcher,SP,SP,MLB,MLB,221,171.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Andrew Abbott fit as a sp contributor; dynasty rank 221; market ADP 171.0; MLB-slot pressure required immediate production.
171,18,1,Josh V,Jose Soriano,pitcher,SP,SP,MLB,MLB,334,171.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Jose Soriano fit as a sp contributor; dynasty rank 334; market ADP 171.0; MLB-slot pressure required immediate production.
190,19,10,Josh V,Ryan Pepiot,pitcher,SP,SP,MLB,MLB,140,177.0,15-day IL,Status Change,Josh V prioritized long-term ceiling and upside over market conservatism; Ryan Pepiot fit as a sp contributor; dynasty rank 140; market ADP 177.0; MLB-slot pressure required immediate production.
191,20,1,Josh V,Corbin Burnes,pitcher,SP,SP,MLB,MLB,183,153.0,60-day IL,Status Change,Josh V prioritized long-term ceiling and upside over market conservatism; Corbin Burnes fit as a sp contributor; dynasty rank 183; market ADP 153.0; MLB-slot pressure required immediate production.
210,21,10,Josh V,Royce Lewis,hitter,3B,3B,MLB,MLB,157,197.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Royce Lewis fit as a 3b contributor; dynasty rank 157; market ADP 197.0; MLB-slot pressure required immediate production; roster construction needed this position fit; team OBP build needed reinforcement.
211,22,1,Josh V,Brayan Bello,pitcher,SP,SP,MLB,MLB,267,233.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Brayan Bello fit as a sp contributor; dynasty rank 267; market ADP 233.0; MLB-slot pressure required immediate production.
230,23,10,Josh V,Daylen Lile,hitter,OF,OF,MLB,MLB,187,221.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Daylen Lile fit as a of contributor; dynasty rank 187; market ADP 221.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement.
231,24,1,Josh V,Anthony Volpe,hitter,SS,SS,MLB,MLB,273,212.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Anthony Volpe fit as a ss contributor; dynasty rank 273; market ADP 212.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement.
250,25,10,Josh V,Francisco Alvarez,hitter,C,C,MLB,MLB,264,227.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Francisco Alvarez fit as a c contributor; dynasty rank 264; market ADP 227.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement.
251,26,1,Josh V,Mark Vientos,hitter,3B,3B,MLB,MLB,234,237.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Mark Vientos fit as a 3b contributor; dynasty rank 234; market ADP 237.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement.
270,27,10,Josh V,Nolan Schanuel,hitter,1B,1B,MLB,MLB,265,289.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Nolan Schanuel fit as a 1b contributor; dynasty rank 265; market ADP 289.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement.
271,28,1,Josh V,Brooks Lee,hitter,SS,2B/SS/3B,MLB,MLB,358,257.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Brooks Lee fit as a ss contributor; dynasty rank 358; market ADP 257.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement.
290,29,10,Josh V,Jordan Walker,hitter,OF,OF,MLB,MLB,418,268.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Jordan Walker fit as a of contributor; dynasty rank 418; market ADP 268.0; MLB-slot pressure required immediate production; team OBP build needed reinforcement.
291,30,1,Josh V,Ryan Weathers,pitcher,SP,SP,MLB,MLB,269,259.0,,Trade,Josh V prioritized long-term ceiling and upside over market conservatism; Ryan Weathers fit as a sp contributor; dynasty rank 269; market ADP 259.0; MLB-slot pressure required immediate production.
