source,mlbam_id,fg_id,player_name,team,adp,overall_rank,format,market_timing_estimate,fantasypros_adp,rotowire_adp,fallback_adp,adp_method,notes
FantasyPros overall ADP,662253,,Andres Munoz,SEA,98.5,97,10-team dynasty startup snake,Rounds 6-10,98.5,,86.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,621493,,Taylor Ward,BAL,99.0,98,10-team dynasty startup snake,Rounds 6-10,,,99.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,666176,,Jo Adell,LAA,100.5,99,10-team dynasty startup snake,Rounds 6-10,100.5,,53.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,641355,,Cody Bellinger,NYY,100.5,100,10-team dynasty startup snake,Rounds 6-10,100.5,,56.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,683737,,Michael Busch,CHC,101.0,101,10-team dynasty startup snake,Rounds 6-10,101.0,,94.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,664285,,Framber Valdez,DET,101.5,102,10-team dynasty startup snake,Rounds 6-10,101.5,,88.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,671739,,Michael Harris II,ATL,102.5,103,10-team dynasty startup snake,Rounds 6-10,102.5,,75.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,666969,,Adolis Garcia,PHI,103.0,104,10-team dynasty startup snake,Rounds 6-10,,,103.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,676059,,Jordan Westburg,BAL,104.0,105,10-team dynasty startup snake,Rounds 6-10,104.0,,314.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,650633,,Michael King,SD,105.5,106,10-team dynasty startup snake,Rounds 6-10,105.5,,120.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,605483,,Blake Snell,LAD,106.5,107,10-team dynasty startup snake,Rounds 6-10,106.5,,387.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,661395,,Jhoan Duran,PHI,107.5,108,10-team dynasty startup snake,Rounds 6-10,107.5,,91.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,682663,,Agustin Ramirez,MIA,108.0,109,10-team dynasty startup snake,Rounds 6-10,108.0,,109.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,691176,,Jasson Dominguez,NYY,108.0,110,10-team dynasty startup snake,Rounds 6-10,108.0,,609.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,808963,,Roki Sasaki,LAD,109.0,111,10-team dynasty startup snake,Rounds 6-10,109.0,,370.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,668227,,Randy Arozarena,SEA,110.0,112,10-team dynasty startup snake,Rounds 6-10,110.0,,59.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,678882,,Ceddanne Rafaela,BOS,110.5,113,10-team dynasty startup snake,Rounds 6-10,110.5,,132.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,807713,,Matt Shaw,CHC,111.0,114,10-team dynasty startup snake,Rounds 6-10,111.0,,415.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,663556,,Shane McClanahan,TB,114.0,115,10-team dynasty startup snake,Rounds 6-10,114.0,,169.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,621439,,Byron Buxton,MIN,115.0,116,10-team dynasty startup snake,Rounds 6-10,115.0,,51.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,692225,,Kristian Campbell,BOS,115.0,117,10-team dynasty startup snake,Rounds 6-10,115.0,,930.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,691016,,Tyler Soderstrom,ATH,116.0,118,10-team dynasty startup snake,Rounds 6-10,116.0,,60.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,666200,,Jesus Luzardo,PHI,117.0,119,10-team dynasty startup snake,Rounds 6-10,117.0,,78.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
workspace-baseline-2026,542303,,Marcell Ozuna,PIT,117.0,120,10-team dynasty startup snake,Rounds 6-10,,,117.0,baseline-fallback,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,668939,,Adley Rutschman,BAL,117.0,121,10-team dynasty startup snake,Rounds 11-15,117.0,,210.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,808959,,Munetaka Murakami,CWS,118.0,122,10-team dynasty startup snake,Rounds 11-15,118.0,,93.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,554430,,Zack Wheeler,PHI,119.0,123,10-team dynasty startup snake,Rounds 11-15,119.0,,35.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,686218,,Emmet Sheehan,LAD,119.5,124,10-team dynasty startup snake,Rounds 11-15,119.5,,206.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,691785,,Marcelo Mayer,BOS,120.0,125,10-team dynasty startup snake,Rounds 11-15,120.0,,327.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
FantasyPros overall ADP,691725,,Andrew Painter,PHI,122.0,126,10-team dynasty startup snake,Rounds 11-15,122.0,,425.0,fantasypros-source,Source-specific ingest uses FantasyPros and RotoWire when present and baseline fallback otherwise.
