source,mlbam_id,fg_id,player_name,team,adp,overall_rank,format,notes
FantasyPros overall ADP,695578,695578,James Wood,WSH,22.5,21,10-team dynasty startup snake,
FantasyPros overall ADP,691718,691718,Pete Crow-Armstrong,CHC,23.5,23,10-team dynasty startup snake,
FantasyPros overall ADP,694671,694671,Wyatt Langford,TEX,24.0,24,10-team dynasty startup snake,
FantasyPros overall ADP,804606,804606,Konnor Griffin,PIT,25.5,25,10-team dynasty startup snake,
FantasyPros overall ADP,606466,13613,Ketel Marte,AZ,27.0,26,10-team dynasty startup snake,
FantasyPros overall ADP,596019,12916,Francisco Lindor,NYM,27.5,28,10-team dynasty startup snake,
FantasyPros overall ADP,670541,670541,Yordan Alvarez,HOU,27.5,27,10-team dynasty startup snake,
FantasyPros overall ADP,686613,686613,Hunter Brown,HOU,29.0,30,10-team dynasty startup snake,
FantasyPros overall ADP,646240,646240,Rafael Devers,SF,29.0,31,10-team dynasty startup snake,
FantasyPros overall ADP,808967,808967,Yoshinobu Yamamoto,LAD,29.0,29,10-team dynasty startup snake,
FantasyPros overall ADP,682928,682928,CJ Abrams,WSH,34.0,33,10-team dynasty startup snake,
FantasyPros overall ADP,624413,624413,Pete Alonso,BAL,34.0,32,10-team dynasty startup snake,
FantasyPros overall ADP,687263,687263,Zach Neto,LAA,34.0,34,10-team dynasty startup snake,
FantasyPros overall ADP,701538,701538,Jackson Merrill,SD,35.0,35,10-team dynasty startup snake,
FantasyPros overall ADP,665862,665862,Jazz Chisholm Jr.,NYY,35.0,36,10-team dynasty startup snake,
FantasyPros overall ADP,669302,669302,Logan Gilbert,SEA,36.0,37,10-team dynasty startup snake,
FantasyPros overall ADP,650911,650911,Cristopher Sanchez,PHI,36.5,38,10-team dynasty startup snake,
FantasyPros overall ADP,693433,693433,Bryan Woo,SEA,41.0,41,10-team dynasty startup snake,
FantasyPros overall ADP,691587,691587,Eury Perez,MIA,41.0,40,10-team dynasty startup snake,
FantasyPros overall ADP,702616,702616,Jackson Holliday,BAL,41.0,39,10-team dynasty startup snake,
FantasyPros overall ADP,682985,682985,Riley Greene,DET,41.5,42,10-team dynasty startup snake,
FantasyPros overall ADP,656941,16478,Kyle Schwarber,PHI,42.5,43,10-team dynasty startup snake,
FantasyPros overall ADP,547180,11579,Bryce Harper,PHI,45.0,44,10-team dynasty startup snake,
FantasyPros overall ADP,805808,805808,Kevin McGonigle,DET,45.5,45,10-team dynasty startup snake,
FantasyPros overall ADP,668881,668881,Hunter Greene,CIN,47.5,46,10-team dynasty startup snake,
FantasyPros overall ADP,607208,16252,Trea Turner,PHI,48.0,47,10-team dynasty startup snake,
FantasyPros overall ADP,815908,815908,Jesus Made,MIL,49.0,48,10-team dynasty startup snake,
FantasyPros overall ADP,663586,663586,Austin Riley,ATL,50.5,49,10-team dynasty startup snake,
FantasyPros overall ADP,680776,680776,Jarren Duran,BOS,51.0,50,10-team dynasty startup snake,
FantasyPros overall ADP,592518,11493,Manny Machado,SD,52.0,51,10-team dynasty startup snake,
FantasyPros overall ADP,605141,13611,Mookie Betts,LAD,53.0,52,10-team dynasty startup snake,
FantasyPros overall ADP,695505,695505,Chase Burns,CIN,55.5,53,10-team dynasty startup snake,
FantasyPros overall ADP,666142,666142,Cole Ragans,KC,56.5,54,10-team dynasty startup snake,
FantasyPros overall ADP,695506,695506,Jac Caglianone,KC,57.5,55,10-team dynasty startup snake,
FantasyPros overall ADP,694819,694819,Jacob Misiorowski,MIL,58.0,56,10-team dynasty startup snake,
FantasyPros overall ADP,657277,657277,Logan Webb,SF,58.0,57,10-team dynasty startup snake,
FantasyPros overall ADP,,,JJ Wetherholt,STL,58.5,58,10-team dynasty startup snake,
FantasyPros overall ADP,669923,669923,George Kirby,SEA,62.0,59,10-team dynasty startup snake,
FantasyPros overall ADP,,,Sebastian Walcott,TEX,62.5,60,10-team dynasty startup snake,
FantasyPros overall ADP,703601,703601,Max Clark,DET,63.5,61,10-team dynasty startup snake,
FantasyPros overall ADP,675911,675911,Spencer Strider,ATL,64.0,62,10-team dynasty startup snake,
FantasyPros overall ADP,621566,14344,Matt Olson,ATL,66.0,63,10-team dynasty startup snake,
FantasyPros overall ADP,696149,696149,Bubba Chandler,PIT,66.5,65,10-team dynasty startup snake,
FantasyPros overall ADP,815888,815888,Leo De Vries,ATH,66.5,64,10-team dynasty startup snake,
FantasyPros overall ADP,665161,665161,Jeremy Pena,HOU,67.0,66,10-team dynasty startup snake,
FantasyPros overall ADP,642547,642547,Freddy Peralta,NYM,68.0,67,10-team dynasty startup snake,
FantasyPros overall ADP,657746,657746,Joe Ryan,MIN,68.5,68,10-team dynasty startup snake,
FantasyPros overall ADP,680885,680885,Spencer Schwellenbach,ATL,69.5,69,10-team dynasty startup snake,
FantasyPros overall ADP,667670,667670,Brent Rooker,ATH,70.5,71,10-team dynasty startup snake,
FantasyPros overall ADP,805811,805811,Bryce Eldridge,SF,70.5,70,10-team dynasty startup snake,
FantasyPros overall ADP,518692,5361,Freddie Freeman,LAD,70.5,72,10-team dynasty startup snake,
FantasyPros overall ADP,608331,608331,Max Fried,NYY,74.5,73,10-team dynasty startup snake,
FantasyPros overall ADP,647304,647304,Josh Naylor,SEA,75.0,74,10-team dynasty startup snake,
FantasyPros overall ADP,695243,695243,Mason Miller,SD,76.0,75,10-team dynasty startup snake,
FantasyPros overall ADP,608324,17678,Alex Bregman,CHC,78.0,77,10-team dynasty startup snake,
FantasyPros overall ADP,805779,805779,Jacob Wilson,ATH,78.0,76,10-team dynasty startup snake,
FantasyPros overall ADP,672580,672580,Maikel Garcia,KC,80.0,78,10-team dynasty startup snake,
FantasyPros overall ADP,694212,694212,Samuel Basallo,BAL,80.5,79,10-team dynasty startup snake,
FantasyPros overall ADP,681624,681624,Andy Pages,LAD,81.0,80,10-team dynasty startup snake,
FantasyPros overall ADP,683953,683953,Travis Bazzana,CLE,82.0,82,10-team dynasty startup snake,
FantasyPros overall ADP,661388,661388,William Contreras,MIL,82.0,81,10-team dynasty startup snake,
FantasyPros overall ADP,686469,686469,Vinnie Pasquantino,KC,83.5,83,10-team dynasty startup snake,
FantasyPros overall ADP,672695,672695,Geraldo Perdomo,AZ,84.5,84,10-team dynasty startup snake,
FantasyPros overall ADP,690997,690997,Nolan McLean,NYM,85.0,85,10-team dynasty startup snake,
FantasyPros overall ADP,700250,700250,Ben Rice,NYY,86.0,87,10-team dynasty startup snake,
FantasyPros overall ADP,665833,665833,Oneil Cruz,PIT,86.0,86,10-team dynasty startup snake,
FantasyPros overall ADP,671732,671732,Lawrence Butler,ATH,87.0,88,10-team dynasty startup snake,
FantasyPros overall ADP,608369,13624,Corey Seager,TEX,88.0,89,10-team dynasty startup snake,
FantasyPros overall ADP,669065,669065,Kyle Stowers,MIA,89.5,90,10-team dynasty startup snake,
FantasyPros overall ADP,,,Pablo Lopez,MIN,90.0,120,10-team dynasty startup snake,
FantasyPros overall ADP,666182,666182,Bo Bichette,NYM,90.5,91,10-team dynasty startup snake,
FantasyPros overall ADP,673548,673548,Seiya Suzuki,CHC,93.5,92,10-team dynasty startup snake,
FantasyPros overall ADP,669022,669022,MacKenzie Gore,TEX,95.0,93,10-team dynasty startup snake,
FantasyPros overall ADP,805805,805805,Walker Jenkins,MIN,95.5,94,10-team dynasty startup snake,
FantasyPros overall ADP,668930,668930,Brice Turang,MIL,96.0,95,10-team dynasty startup snake,
FantasyPros overall ADP,662253,662253,Andres Munoz,SEA,98.5,96,10-team dynasty startup snake,
FantasyPros overall ADP,641355,15998,Cody Bellinger,NYY,100.5,98,10-team dynasty startup snake,
FantasyPros overall ADP,666176,666176,Jo Adell,LAA,100.5,97,10-team dynasty startup snake,
FantasyPros overall ADP,683737,683737,Michael Busch,CHC,101.0,99,10-team dynasty startup snake,
FantasyPros overall ADP,664285,664285,Framber Valdez,DET,101.5,100,10-team dynasty startup snake,
FantasyPros overall ADP,671739,671739,Michael Harris II,ATL,102.5,101,10-team dynasty startup snake,
FantasyPros overall ADP,676059,676059,Jordan Westburg,BAL,104.0,102,10-team dynasty startup snake,
FantasyPros overall ADP,,,Luis Pena,MIL,105.0,103,10-team dynasty startup snake,
FantasyPros overall ADP,650633,650633,Michael King,SD,105.5,104,10-team dynasty startup snake,
FantasyPros overall ADP,605483,13543,Blake Snell,LAD,106.5,105,10-team dynasty startup snake,
FantasyPros overall ADP,661395,661395,Jhoan Duran,PHI,107.5,106,10-team dynasty startup snake,
FantasyPros overall ADP,682663,682663,Agustin Ramirez,MIA,108.0,107,10-team dynasty startup snake,
FantasyPros overall ADP,691176,691176,Jasson Dominguez,NYY,108.0,130,10-team dynasty startup snake,
FantasyPros overall ADP,808963,808963,Roki Sasaki,LAD,109.0,108,10-team dynasty startup snake,
FantasyPros overall ADP,668227,668227,Randy Arozarena,SEA,110.0,109,10-team dynasty startup snake,
FantasyPros overall ADP,678882,678882,Ceddanne Rafaela,BOS,110.5,110,10-team dynasty startup snake,
FantasyPros overall ADP,807713,807713,Matt Shaw,CHC,111.0,111,10-team dynasty startup snake,
FantasyPros overall ADP,663556,663556,Shane McClanahan,TB,114.0,112,10-team dynasty startup snake,
FantasyPros overall ADP,621439,14161,Byron Buxton,MIN,115.0,113,10-team dynasty startup snake,
FantasyPros overall ADP,692225,692225,Kristian Campbell,BOS,115.0,132,10-team dynasty startup snake,
FantasyPros overall ADP,691016,691016,Tyler Soderstrom,ATH,116.0,114,10-team dynasty startup snake,
FantasyPros overall ADP,668939,668939,Adley Rutschman,BAL,117.0,115,10-team dynasty startup snake,
FantasyPros overall ADP,666200,666200,Jesus Luzardo,PHI,117.0,116,10-team dynasty startup snake,
FantasyPros overall ADP,808959,808959,Munetaka Murakami,CWS,118.0,117,10-team dynasty startup snake,
FantasyPros overall ADP,554430,10310,Zack Wheeler,PHI,119.0,136,10-team dynasty startup snake,
FantasyPros overall ADP,686218,686218,Emmet Sheehan,LAD,119.5,118,10-team dynasty startup snake,
FantasyPros overall ADP,691785,691785,Marcelo Mayer,BOS,120.0,119,10-team dynasty startup snake,
FantasyPros overall ADP,691725,691725,Andrew Painter,PHI,122.0,121,10-team dynasty startup snake,
FantasyPros overall ADP,800543,800543,Josue De Paula,LAD,122.5,122,10-team dynasty startup snake,
FantasyPros overall ADP,686611,686611,Dylan Crews,WSH,124.0,123,10-team dynasty startup snake,
FantasyPros overall ADP,669257,669257,Will Smith,LAD,124.0,140,10-team dynasty startup snake,
FantasyPros overall ADP,702056,702056,Trey Yesavage,TOR,126.5,124,10-team dynasty startup snake,
FantasyPros overall ADP,656302,656302,Dylan Cease,TOR,127.0,143,10-team dynasty startup snake,
FantasyPros overall ADP,805795,805795,Aidan Miller,PHI,127.5,125,10-team dynasty startup snake,
FantasyPros overall ADP,677800,677800,Wilyer Abreu,BOS,127.5,126,10-team dynasty startup snake,
FantasyPros overall ADP,680757,680757,Steven Kwan,CLE,129.0,129,10-team dynasty startup snake,
FantasyPros overall ADP,802415,802415,Chandler Simpson,TB,129.5,131,10-team dynasty startup snake,
FantasyPros overall ADP,,,Jackson Jobe,DET,131.0,144,10-team dynasty startup snake,
FantasyPros overall ADP,594798,10954,Jacob deGrom,TEX,134.0,133,10-team dynasty startup snake,
FantasyPros overall ADP,691783,691783,Jordan Lawlar,AZ,134.0,147,10-team dynasty startup snake,
FantasyPros overall ADP,686948,686948,Drake Baldwin,ATL,134.5,134,10-team dynasty startup snake,
FantasyPros overall ADP,696100,696100,Hunter Goodman,COL,135.5,138,10-team dynasty startup snake,
FantasyPros overall ADP,701358,701358,Cam Smith,HOU,136.0,148,10-team dynasty startup snake,
FantasyPros overall ADP,684007,684007,Shota Imanaga,CHC,137.0,150,10-team dynasty startup snake,
FantasyPros overall ADP,642715,642715,Willy Adames,SF,137.0,139,10-team dynasty startup snake,
FantasyPros overall ADP,,,Zyhir Hope,LAD,137.5,141,10-team dynasty startup snake,
FantasyPros overall ADP,701398,701398,Sal Stewart,CIN,138.0,127,10-team dynasty startup snake,
FantasyPros overall ADP,,,Lazaro Montes,SEA,138.5,142,10-team dynasty startup snake,
FantasyPros overall ADP,607192,14374,Tyler Glasnow,LAD,139.0,152,10-team dynasty startup snake,
FantasyPros overall ADP,702262,683003,Jared Jones,PIT,140.0,154,10-team dynasty startup snake,
FantasyPros overall ADP,686668,686668,Brenton Doyle,COL,141.0,145,10-team dynasty startup snake,
FantasyPros overall ADP,679529,679529,Spencer Torkelson,DET,141.0,156,10-team dynasty startup snake,
FantasyPros overall ADP,701807,701807,Carson Benge,NYM,141.5,137,10-team dynasty startup snake,
FantasyPros overall ADP,680694,680694,Kyle Bradish,BAL,143.0,146,10-team dynasty startup snake,
FantasyPros overall ADP,519242,10603,Chris Sale,ATL,144.0,149,10-team dynasty startup snake,
FantasyPros overall ADP,682243,682243,Bryce Miller,SEA,145.0,161,10-team dynasty startup snake,
FantasyPros overall ADP,663460,663460,Kris Bubic,KC,147.0,163,10-team dynasty startup snake,
FantasyPros overall ADP,695731,695731,Braden Montgomery,CWS,147.5,155,10-team dynasty startup snake,
FantasyPros overall ADP,691723,691723,Coby Mayo,BAL,149.0,157,10-team dynasty startup snake,
FantasyPros overall ADP,670623,670623,Isaac Paredes,HOU,149.0,166,10-team dynasty startup snake,
FantasyPros overall ADP,682622,682622,Noelvi Marte,CIN,151.5,151,10-team dynasty startup snake,
FantasyPros overall ADP,669203,669203,Corbin Burnes,AZ,153.0,167,10-team dynasty startup snake,
FantasyPros overall ADP,805300,805300,Jakob Marsee,MIA,153.5,153,10-team dynasty startup snake,
FantasyPros overall ADP,806068,806068,Colt Emerson,SEA,154.5,162,10-team dynasty startup snake,
FantasyPros overall ADP,807712,807712,Luke Keaschall,MIN,155.0,160,10-team dynasty startup snake,
FantasyPros overall ADP,666157,666157,Nick Lodolo,CIN,155.0,168,10-team dynasty startup snake,
FantasyPros overall ADP,671218,671218,Heliot Ramos,SF,157.0,169,10-team dynasty startup snake,
FantasyPros overall ADP,690990,690990,Cade Horton,CHC,158.0,170,10-team dynasty startup snake,
FantasyPros overall ADP,514888,5417,Jose Altuve,HOU,159.0,171,10-team dynasty startup snake,
FantasyPros overall ADP,663538,663538,Nico Hoerner,CHC,159.5,135,10-team dynasty startup snake,
FantasyPros overall ADP,668909,668909,Gavin Williams,CLE,160.0,172,10-team dynasty startup snake,
FantasyPros overall ADP,,,Kade Anderson,SEA,160.0,164,10-team dynasty startup snake,
FantasyPros overall ADP,693645,693645,Cam Schlittler,NYY,161.0,165,10-team dynasty startup snake,
FantasyPros overall ADP,680574,680574,Matt McLain,CIN,161.0,173,10-team dynasty startup snake,
FantasyPros overall ADP,669127,669127,Shea Langeliers,ATH,163.5,159,10-team dynasty startup snake,
FantasyPros overall ADP,673357,673357,Luis Robert Jr.,NYM,165.5,158,10-team dynasty startup snake,
FantasyPros overall ADP,592885,11477,Christian Yelich,MIL,166.0,174,10-team dynasty startup snake,
FantasyPros overall ADP,669358,669358,Shane Baz,BAL,168.0,175,10-team dynasty startup snake,
FantasyPros overall ADP,607074,16137,Carlos Rodon,NYY,169.0,176,10-team dynasty startup snake,
FantasyPros overall ADP,671096,671096,Andrew Abbott,CIN,171.0,177,10-team dynasty startup snake,
FantasyPros overall ADP,671056,671056,Ivan Herrera,STL,174.0,178,10-team dynasty startup snake,
FantasyPros overall ADP,645261,645261,Sandy Alcantara,MIA,175.0,179,10-team dynasty startup snake,
FantasyPros overall ADP,804636,804636,Jonah Tong,NYM,176.0,180,10-team dynasty startup snake,
FantasyPros overall ADP,686752,686752,Ryan Pepiot,TB,177.0,181,10-team dynasty startup snake,
FantasyPros overall ADP,676440,676440,Tanner Bibee,CLE,178.0,182,10-team dynasty startup snake,
FantasyPros overall ADP,680570,680570,Grayson Rodriguez,LAA,179.0,183,10-team dynasty startup snake,
FantasyPros overall ADP,695657,695657,Colson Montgomery,CWS,180.0,184,10-team dynasty startup snake,
FantasyPros overall ADP,666018,666018,Jonathan Aranda,TB,181.0,185,10-team dynasty startup snake,
FantasyPros overall ADP,624133,624133,Ranger Suarez,BOS,182.0,186,10-team dynasty startup snake,
FantasyPros overall ADP,545361,10155,Mike Trout,LAA,184.0,187,10-team dynasty startup snake,
FantasyPros overall ADP,806258,806258,Thomas White,MIA,185.0,188,10-team dynasty startup snake,
FantasyPros overall ADP,700246,700246,Carson Williams,TB,186.0,189,10-team dynasty startup snake,
FantasyPros overall ADP,681481,681481,Kerry Carpenter,DET,187.0,190,10-team dynasty startup snake,
FantasyPros overall ADP,680718,680718,Addison Barger,TOR,189.0,191,10-team dynasty startup snake,
FantasyPros overall ADP,645277,16556,Ozzie Albies,ATL,190.0,192,10-team dynasty startup snake,
FantasyPros overall ADP,687221,687221,Dalton Rushing,LAD,191.0,193,10-team dynasty startup snake,
FantasyPros overall ADP,606192,13066,Teoscar Hernandez,LAD,192.0,194,10-team dynasty startup snake,
FantasyPros overall ADP,702273,702273,Noah Schultz,CWS,193.0,195,10-team dynasty startup snake,
FantasyPros overall ADP,665795,665795,Edward Cabrera,CHC,194.0,196,10-team dynasty startup snake,
FantasyPros overall ADP,,,Travis Sykora,WSH,195.0,197,10-team dynasty startup snake,
FantasyPros overall ADP,623352,14212,Josh Hader,HOU,196.0,198,10-team dynasty startup snake,
FantasyPros overall ADP,668904,668904,Royce Lewis,MIN,197.0,199,10-team dynasty startup snake,
FantasyPros overall ADP,673540,673540,Kodai Senga,NYM,198.0,200,10-team dynasty startup snake,
FantasyPros overall ADP,691181,691181,Emmanuel Rodriguez,MIN,199.0,201,10-team dynasty startup snake,
FantasyPros overall ADP,691026,691026,Masyn Winn,STL,201.0,202,10-team dynasty startup snake,
FantasyPros overall ADP,814439,814439,Ryan Waldschmidt,AZ,202.0,128,10-team dynasty startup snake,
FantasyPros overall ADP,673237,673237,Yainer Diaz,HOU,202.0,203,10-team dynasty startup snake,
FantasyPros overall ADP,800050,800050,Chase DeLauter,CLE,203.0,204,10-team dynasty startup snake,
FantasyPros overall ADP,808982,808982,Jung Hoo Lee,SF,204.0,205,10-team dynasty startup snake,
FantasyPros overall ADP,543037,13125,Gerrit Cole,NYY,205.0,206,10-team dynasty startup snake,
FantasyPros overall ADP,622491,699127,Luis Castillo,SEA,206.0,207,10-team dynasty startup snake,
FantasyPros overall ADP,805673,805673,Zebby Matthews,MIN,207.0,208,10-team dynasty startup snake,
FantasyPros overall ADP,,,Reese Olson,DET,208.0,209,10-team dynasty startup snake,
FantasyPros overall ADP,605400,16149,Aaron Nola,PHI,209.0,210,10-team dynasty startup snake,
FantasyPros overall ADP,700932,700932,Kyle Manzardo,CLE,210.0,211,10-team dynasty startup snake,
FantasyPros overall ADP,621242,14710,Edwin Diaz,LAD,211.0,212,10-team dynasty startup snake,
FantasyPros overall ADP,683011,683011,Anthony Volpe,NYY,212.0,213,10-team dynasty startup snake,
FantasyPros overall ADP,681297,681297,Colton Cowser,BAL,213.0,214,10-team dynasty startup snake,
FantasyPros overall ADP,668678,668678,Zac Gallen,AZ,214.0,215,10-team dynasty startup snake,
FantasyPros overall ADP,,,Hagen Smith,CWS,215.0,216,10-team dynasty startup snake,
FantasyPros overall ADP,691019,691019,Kyle Teel,CWS,216.0,217,10-team dynasty startup snake,
FantasyPros overall ADP,553993,12552,Eugenio Suarez,CIN,217.0,218,10-team dynasty startup snake,
FantasyPros overall ADP,,,AJ Smith-Shawver,ATL,218.0,219,10-team dynasty startup snake,
FantasyPros overall ADP,592662,11486,Robbie Ray,SF,219.0,220,10-team dynasty startup snake,
FantasyPros overall ADP,601713,601713,Nick Pivetta,SD,220.0,221,10-team dynasty startup snake,
FantasyPros overall ADP,661563,661563,Luis Gil,NYY,221.0,222,10-team dynasty startup snake,
FantasyPros overall ADP,678662,678662,Ezequiel Tovar,COL,222.0,223,10-team dynasty startup snake,
FantasyPros overall ADP,669456,669456,Shane Bieber,TOR,223.0,224,10-team dynasty startup snake,
FantasyPros overall ADP,,,Bryce Rainer,DET,224.0,225,10-team dynasty startup snake,
FantasyPros overall ADP,694497,694497,Evan Carter,TEX,225.0,226,10-team dynasty startup snake,
FantasyPros overall ADP,695681,695681,Christian Moore,LAA,226.0,227,10-team dynasty startup snake,
FantasyPros overall ADP,682626,682626,Francisco Alvarez,NYM,227.0,228,10-team dynasty startup snake,
FantasyPros overall ADP,809707,809707,Charlie Condon,COL,228.0,229,10-team dynasty startup snake,
FantasyPros overall ADP,694208,694208,Moises Ballesteros,CHC,229.0,230,10-team dynasty startup snake,
FantasyPros overall ADP,664023,664023,Ian Happ,CHC,230.0,231,10-team dynasty startup snake,
FantasyPros overall ADP,701656,701656,Logan Henderson,MIL,231.0,232,10-team dynasty startup snake,
FantasyPros overall ADP,,,Logan O'Hoppe,LAA,232.0,233,10-team dynasty startup snake,
FantasyPros overall ADP,678394,678394,Brayan Bello,BOS,233.0,234,10-team dynasty startup snake,
FantasyPros overall ADP,,,Ethan Holliday,COL,234.0,235,10-team dynasty startup snake,
FantasyPros overall ADP,663554,663554,Casey Mize,DET,235.0,236,10-team dynasty startup snake,
FantasyPros overall ADP,605540,605540,Brandon Woodruff,MIL,236.0,237,10-team dynasty startup snake,
FantasyPros overall ADP,668901,668901,Mark Vientos,NYM,237.0,238,10-team dynasty startup snake,
FantasyPros overall ADP,656427,656427,Jack Flaherty,DET,238.0,239,10-team dynasty startup snake,
FantasyPros overall ADP,682987,682987,Spencer Jones,FA,239.0,240,10-team dynasty startup snake,
FantasyPros overall ADP,671737,671737,Taj Bradley,MIN,240.0,241,10-team dynasty startup snake,
FantasyPros overall ADP,683357,683357,Owen Caissie,MIA,241.0,242,10-team dynasty startup snake,
FantasyPros overall ADP,690993,690993,Colt Keith,DET,242.0,243,10-team dynasty startup snake,
FantasyPros overall ADP,,,George Lombard,NYY,243.0,244,10-team dynasty startup snake,
FantasyPros overall ADP,656876,656876,Drew Rasmussen,TB,244.0,245,10-team dynasty startup snake,
FantasyPros overall ADP,657006,657006,Justin Steele,CHC,245.0,246,10-team dynasty startup snake,
FantasyPros overall ADP,,,Eli Willits,WSH,246.0,247,10-team dynasty startup snake,
FantasyPros overall ADP,543135,9132,Nathan Eovaldi,TEX,247.0,248,10-team dynasty startup snake,
FantasyPros overall ADP,650402,16997,Gleyber Torres,DET,248.0,249,10-team dynasty startup snake,
FantasyPros overall ADP,702222,702222,Justin Crawford,PHI,249.0,250,10-team dynasty startup snake,
FantasyPros overall ADP,,,Liam Doyle,STL,250.0,251,10-team dynasty startup snake,
FantasyPros overall ADP,686217,686217,Sal Frelick,MIL,251.0,252,10-team dynasty startup snake,
FantasyPros overall ADP,800522,800522,Josue Briceno,DET,252.0,253,10-team dynasty startup snake,
FantasyPros overall ADP,668715,668715,Spencer Steer,CIN,253.0,254,10-team dynasty startup snake,
FantasyPros overall ADP,676974,676974,Max Meyer,MIA,254.0,255,10-team dynasty startup snake,
FantasyPros overall ADP,702070,702070,Noah Cameron,KC,255.0,256,10-team dynasty startup snake,
FantasyPros overall ADP,671213,671213,Triston Casas,BOS,256.0,257,10-team dynasty startup snake,
FantasyPros overall ADP,669364,669364,Xavier Edwards,MIA,257.0,258,10-team dynasty startup snake,
FantasyPros overall ADP,701542,701542,Will Warren,NYY,258.0,259,10-team dynasty startup snake,
FantasyPros overall ADP,677960,677960,Ryan Weathers,NYY,259.0,260,10-team dynasty startup snake,
FantasyPros overall ADP,690953,690953,Mick Abel,MIN,260.0,261,10-team dynasty startup snake,
FantasyPros overall ADP,687637,687637,Dylan Beavers,BAL,261.0,262,10-team dynasty startup snake,
FantasyPros overall ADP,683004,683004,Jack Leiter,TEX,262.0,263,10-team dynasty startup snake,
FantasyPros overall ADP,621020,18314,Dansby Swanson,CHC,263.0,264,10-team dynasty startup snake,
FantasyPros overall ADP,656305,16505,Matt Chapman,SF,264.0,265,10-team dynasty startup snake,
FantasyPros overall ADP,681293,681293,Spencer Arrighetti,HOU,265.0,266,10-team dynasty startup snake,
FantasyPros overall ADP,,,Emmanuel Clase,CLE,266.0,267,10-team dynasty startup snake,
FantasyPros overall ADP,664040,664040,Brandon Lowe,PIT,267.0,268,10-team dynasty startup snake,
FantasyPros overall ADP,694462,694462,Hurston Waldrep,ATL,268.0,269,10-team dynasty startup snake,
FantasyPros overall ADP,592332,14107,Kevin Gausman,TOR,269.0,270,10-team dynasty startup snake,
FantasyPros overall ADP,687597,687597,Jordan Beck,COL,270.0,271,10-team dynasty startup snake,
FantasyPros overall ADP,680977,680977,Brendan Donovan,SEA,271.0,272,10-team dynasty startup snake,
FantasyPros overall ADP,681082,681082,Bryson Stott,PHI,272.0,273,10-team dynasty startup snake,
FantasyPros overall ADP,671922,671922,Cade Smith,CLE,273.0,274,10-team dynasty startup snake,
FantasyPros overall ADP,650333,650333,Luis Arraez,SF,274.0,275,10-team dynasty startup snake,
FantasyPros overall ADP,687075,687075,Brandon Sproat,MIL,275.0,276,10-team dynasty startup snake,
FantasyPros overall ADP,,,Eduardo Quintero,LAD,276.0,277,10-team dynasty startup snake,
FantasyPros overall ADP,805796,805796,Arjun Nimmala,TOR,277.0,278,10-team dynasty startup snake,
FantasyPros overall ADP,,,Tyler Bremner,LAA,278.0,279,10-team dynasty startup snake,
FantasyPros overall ADP,607043,12927,Brandon Nimmo,TEX,279.0,280,10-team dynasty startup snake,
FantasyPros overall ADP,,,Franklin Arias,BOS,280.0,281,10-team dynasty startup snake,
FantasyPros overall ADP,671212,671212,Joe Boyle,TB,281.0,282,10-team dynasty startup snake,
FantasyPros overall ADP,672386,672386,Alejandro Kirk,TOR,282.0,283,10-team dynasty startup snake,
