fantasy_team,player_name,real_team,eligible_positions,player_type,dynasty_rank,adp,recommendation,projected_role_if_promoted,projected_slot_if_promoted,candidate_projection_value,drop_candidate_name,drop_candidate_role,drop_candidate_value,rationale
Paul,Alex Freeland,LAD,3B/2B/SS/INFIELDER,hitter,264,679.0,Keep in minors for now,Bench,,71.3,Justin Crawford,Bench,202.0,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Paul,Brice Matthews,HOU,2B/SS/INFIELDER,hitter,464,639.0,Keep in minors for now,Bench,,81.3,Justin Crawford,Bench,202.0,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Paul,Dylan Beavers,BAL,OF/RF/OUTFIELDER,hitter,318,261.0,Keep in minors for now,Bench,,185.4,Justin Crawford,Bench,202.0,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Paul,Justin Crawford,PHI,OF/CF/OUTFIELDER,hitter,338,249.0,Keep in minors for now,Bench,,202.0,Chase Meidroth,Bench,216.0,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Paul,Nathan Church,STL,OF/LF/OUTFIELDER,hitter,764,768.0,Keep in minors for now,Bench,,58.5,Justin Crawford,Bench,202.0,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Josh M,Chase DeLauter,CLE,OF/RF/OUTFIELDER,hitter,360,203.0,Move to MLB roster as bench player,Bench,,189.8,Jesus Sanchez,Bench,170.9,Improves the 30-man MLB bucket even though the player would open on the fantasy bench.
Shane,Brandon Sproat,MIL,SP/P/PITCHER,pitcher,394,275.0,Keep in minors for now,Bench,,91.0,Tatsuya Imai,Bench,167.7,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Shane,Daniel Susac,SF,C/CATCHER,hitter,856,939.0,Keep in minors for now,Bench,,37.7,Tatsuya Imai,Bench,167.7,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Shane,Rhett Lowder,CIN,SP/P/PITCHER,pitcher,449,298.0,Keep in minors for now,Bench,,105.9,Tatsuya Imai,Bench,167.7,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Greg,Grant Taylor,CWS,RP/P/PITCHER,pitcher,342,409.0,Keep in minors for now,Bench,,147.6,Chris Bassitt,Bench,164.1,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Greg,Hunter Barco,PIT,RP/P/PITCHER,pitcher,446,794.0,Keep in minors for now,Bench,,57.0,Chris Bassitt,Bench,164.1,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Greg,Kyle Harrison,MIL,SP/P/PITCHER,pitcher,427,487.0,Keep in minors for now,Bench,,91.9,Chris Bassitt,Bench,164.1,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Greg,Parker Messick,CLE,SP/P/PITCHER,pitcher,440,350.0,Keep in minors for now,Bench,,123.9,Chris Bassitt,Bench,164.1,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Josh V,Andrew Painter,PHI,SP/P/PITCHER,pitcher,221,122.0,Keep in minors for now,Bench,,97.8,Brayan Rocchio,Bench,190.4,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
Josh V,Bubba Chandler,PIT,SP/P/PITCHER,pitcher,121,66.5,Move to MLB roster as starter,Starter,P8,139.6,Mike Burrows,P9,137.0,Would crack the active lineup at P8 under the current optimizer.
Josh V,Carson Williams,TB,SS/INFIELDER,hitter,317,186.0,Move to MLB roster as bench player,Bench,,224.6,Brayan Rocchio,Bench,190.4,Improves the 30-man MLB bucket even though the player would open on the fantasy bench.
Josh V,Kevin McGonigle,DET,SS/INFIELDER,hitter,51,45.5,Move to MLB roster as starter,Starter,UTIL,232.5,Brayan Rocchio,Bench,190.4,Would crack the active lineup at UTIL under the current optimizer.
Josh V,Nolan McLean,NYM,SP/P/PITCHER,pitcher,102,85.0,Move to MLB roster as starter,Starter,P3,182.1,Mike Burrows,P9,137.0,Would crack the active lineup at P3 under the current optimizer.
Josh V,Sal Stewart,CIN,1B/3B/INFIELDER,hitter,149,138.0,Move to MLB roster as starter,Starter,1B,238.2,Brayan Rocchio,Bench,190.4,Would crack the active lineup at 1B under the current optimizer.
Josh V,Samuel Basallo,BAL,C/CATCHER,hitter,71,80.5,Keep in minors for now,Bench,,163.2,Brayan Rocchio,Bench,190.4,Does not currently beat the weakest projected MLB roster player on the fantasy roster.
