source,mlbam_id,fg_id,player_name,team,dynasty_rank,dynasty_tier,position_group,source_rank,fallback_rank,rank_method,notes
FantraxHQ 2026 dynasty rankings,701762,,Nick Kurtz,ATH,16,Tier 2,1B,16,42,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,665489,,Vladimir Guerrero Jr.,TOR,17,Tier 2,1B,17,15,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,663656,,Kyle Tucker,LAD,18,Tier 2,OF,18,8,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,695578,,James Wood,WSH,19,Tier 2,OF,19,21,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,683002,,Gunnar Henderson,BAL,20,Tier 2,SS,20,4,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,663728,,Cal Raleigh,SEA,21,Tier 2,C,21,47,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,701350,,Roman Anthony,BOS,22,Tier 2,OF,22,72,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,596019,,Francisco Lindor,NYM,23,Tier 2,SS,23,20,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,686613,,Hunter Brown,HOU,24,Tier 2,SP,24,109,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,808967,,Yoshinobu Yamamoto,LAD,25,Tier 2,SP,25,32,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,665862,,Jazz Chisholm Jr.,NYY,26,Tier 2,2B,26,43,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,669302,,Logan Gilbert,SEA,27,Tier 2,SP,27,107,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,694671,,Wyatt Langford,TEX,28,Tier 2,OF,28,29,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,656941,,Kyle Schwarber,PHI,29,Tier 2,OF,29,44,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,606466,,Ketel Marte,AZ,30,Tier 2,2B,30,37,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,670541,,Yordan Alvarez,HOU,31,Tier 3,OF,31,18,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,624413,,Pete Alonso,BAL,32,Tier 3,1B,32,49,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,687263,,Zach Neto,LAA,33,Tier 3,SS,33,45,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,650911,,Cristopher Sanchez,PHI,34,Tier 3,SP,34,104,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,691718,,Pete Crow-Armstrong,CHC,35,Tier 3,OF,35,41,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,646240,,Rafael Devers,SF,36,Tier 3,1B,36,23,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,607208,,Trea Turner,PHI,37,Tier 3,SS,37,31,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,682985,,Riley Greene,DET,38,Tier 3,OF,38,71,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,621566,,Matt Olson,ATL,39,Tier 3,1B,39,33,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,668881,,Hunter Greene,CIN,40,Tier 3,SP,40,499,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,547180,,Bryce Harper,PHI,41,Tier 3,1B,41,27,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,804606,,Konnor Griffin,PIT,42,Tier 3,SS,42,148,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,701538,,Jackson Merrill,SD,43,Tier 3,OF,43,24,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,592518,,Manny Machado,SD,44,Tier 3,3B,44,34,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,605141,,Mookie Betts,LAD,45,Tier 3,SS,45,11,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,682928,,CJ Abrams,WSH,46,Tier 3,SS,46,26,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,691587,,Eury Perez,MIA,47,Tier 3,SP,47,201,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,666142,,Cole Ragans,KC,48,Tier 3,SP,48,119,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,695243,,Mason Miller,SD,49,Tier 3,RP,49,39,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,667670,,Brent Rooker,ATH,50,Tier 3,OF,50,50,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,805808,,Kevin McGonigle,DET,51,Tier 3,SS,51,144,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,815908,,Jesus Made,MIL,52,Tier 3,SS,52,1599,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,680885,,Spencer Schwellenbach,ATL,53,Tier 3,SP,54,650,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,647304,,Josh Naylor,SEA,54,Tier 3,1B,55,55,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,693433,,Bryan Woo,SEA,55,Tier 3,SP,56,103,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,657746,,Joe Ryan,MIN,56,Tier 3,SP,57,128,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,669923,,George Kirby,SEA,57,Tier 3,SP,58,126,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,608331,,Max Fried,NYY,58,Tier 3,SP,59,171,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,661388,,William Contreras,MIL,59,Tier 3,C,60,81,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,665161,,Jeremy Pena,HOU,60,Tier 3,SS,61,67,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,663586,,Austin Riley,ATL,61,Tier 4,3B,62,30,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,662253,,Andres Munoz,SEA,62,Tier 4,RP,63,136,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,608369,,Corey Seager,TEX,63,Tier 4,SS,64,28,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,673548,,Seiya Suzuki,CHC,64,Tier 4,OF,65,87,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,806964,,Sebastian Walcott,TEX,65,Tier 4,SS,66,2590,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,672695,,Geraldo Perdomo,AZ,66,Tier 4,SS,67,60,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,666182,,Bo Bichette,NYM,67,Tier 4,SS,68,83,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,642547,,Freddy Peralta,NYM,68,Tier 4,SP,69,129,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,641355,,Cody Bellinger,NYY,69,Tier 4,OF,70,61,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,608324,,Alex Bregman,CHC,70,Tier 4,3B,71,96,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,694212,,Samuel Basallo,BAL,71,Tier 4,C,72,311,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,657277,,Logan Webb,SF,72,Tier 4,SP,73,112,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,691016,,Tyler Soderstrom,ATH,73,Tier 4,1B,74,62,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,702616,,Jackson Holliday,BAL,74,Tier 4,SS,75,36,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,675911,,Spencer Strider,ATL,75,Tier 4,SP,76,278,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,680776,,Jarren Duran,BOS,76,Tier 4,OF,77,38,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,668930,,Brice Turang,MIL,77,Tier 4,SS,78,51,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,672580,,Maikel Garcia,KC,78,Tier 4,SS,79,48,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,605483,,Blake Snell,LAD,79,Tier 4,SP,80,420,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,683737,,Michael Busch,CHC,80,Tier 4,1B,81,84,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,594798,,Jacob deGrom,TEX,81,Tier 4,SP,82,164,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,518692,,Freddie Freeman,LAD,82,Tier 4,1B,83,66,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,686469,,Vinnie Pasquantino,KC,83,Tier 4,1B,84,56,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,519242,,Chris Sale,ATL,84,Tier 4,SP,85,152,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,695505,,Chase Burns,CIN,85,Tier 4,SP,86,251,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,656302,,Dylan Cease,TOR,86,Tier 4,SP,87,139,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,700250,,Ben Rice,NYY,87,Tier 4,C,88,77,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,661395,,Jhoan Duran,PHI,88,Tier 4,RP,89,138,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,682663,,Agustin Ramirez,MIA,89,Tier 4,C,90,78,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,806068,,Colt Emerson,SEA,90,Tier 4,SS,91,507,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,669127,,Shea Langeliers,ATH,91,Tier 4,C,93,76,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,621439,,Byron Buxton,MIN,92,Tier 4,OF,94,52,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,621242,,Edwin Diaz,LAD,93,Tier 4,RP,95,114,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,665833,,Oneil Cruz,PIT,94,Tier 4,OF,96,19,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,666200,,Jesus Luzardo,PHI,95,Tier 4,SP,97,110,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,676059,,Jordan Westburg,BAL,96,Tier 4,2B,98,274,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,686948,,Drake Baldwin,ATL,97,Tier 4,C,99,123,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,607192,,Tyler Glasnow,LAD,98,Tier 4,SP,100,212,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,671732,,Lawrence Butler,ATH,99,Tier 4,OF,101,64,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,681624,,Andy Pages,LAD,100,Tier 4,OF,102,74,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,694819,,Jacob Misiorowski,MIL,101,Tier 4,SP,103,279,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,690997,,Nolan McLean,NYM,102,Tier 4,SP,104,210,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,805811,,Bryce Eldridge,SF,103,Tier 4,1B,105,533,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,664285,,Framber Valdez,DET,104,Tier 4,SP,106,141,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,669065,,Kyle Stowers,MIA,105,Tier 4,OF,107,225,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,703601,,Max Clark,DET,106,Tier 4,OF,108,1194,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,668227,,Randy Arozarena,SEA,107,Tier 4,OF,109,57,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,696100,,Hunter Goodman,COL,108,Tier 4,C,110,93,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,671922,,Cade Smith,CLE,109,Tier 4,RP,111,122,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,805805,,Walker Jenkins,MIN,110,Tier 4,OF,112,721,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,670623,,Isaac Paredes,HOU,111,Tier 4,3B,113,233,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,671739,,Michael Harris II,ATL,112,Tier 4,OF,114,70,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,642715,,Willy Adames,SF,113,Tier 4,SS,115,65,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,592885,,Christian Yelich,MIL,114,Tier 4,OF,116,82,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,807712,,Luke Keaschall,MIN,115,Tier 4,2B,117,75,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,669257,,Will Smith,LAD,116,Tier 4,C,118,142,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,807713,,Matt Shaw,CHC,117,Tier 4,3B,119,353,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,650633,,Michael King,SD,118,Tier 4,SP,120,167,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,554430,,Zack Wheeler,PHI,119,Tier 4,SP,121,35,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,680694,,Kyle Bradish,BAL,120,Tier 4,SP,122,193,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,696149,,Bubba Chandler,PIT,121,Tier 5,SP,123,323,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,601713,,Nick Pivetta,SD,122,Tier 5,SP,124,180,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,679529,,Spencer Torkelson,DET,123,Tier 5,1B,125,113,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,669022,,MacKenzie Gore,TEX,124,Tier 5,SP,126,161,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,641154,,Pablo López,MIN,125,Tier 5,SP,127,8069,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,623352,,Josh Hader,HOU,126,Tier 5,RP,128,304,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,545361,,Mike Trout,LAA,127,Tier 5,OF,129,132,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,678882,,Ceddanne Rafaela,BOS,128,Tier 5,2B,130,92,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,686218,,Emmet Sheehan,LAD,129,Tier 5,SP,131,236,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,666157,,Nick Lodolo,CIN,130,Tier 5,SP,132,207,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,805779,,Jacob Wilson,ATH,131,Tier 5,SS,133,100,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,702056,,Trey Yesavage,TOR,132,Tier 5,SP,134,337,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,680718,,Addison Barger,TOR,133,Tier 5,3B,135,154,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,695506,,Jac Caglianone,KC,134,Tier 5,1B,136,153,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,808963,,Roki Sasaki,LAD,135,Tier 5,SP,137,394,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,514888,,Jose Altuve,HOU,136,Tier 5,2B,138,73,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,666176,,Jo Adell,LAA,137,Tier 5,OF,139,58,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,666018,,Jonathan Aranda,TB,138,Tier 5,1B,140,187,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,645261,,Sandy Alcantara,MIA,139,Tier 5,SP,141,260,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,606192,,Teoscar Hernandez,LAD,140,Tier 5,OF,142,85,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,663538,,Nico Hoerner,CHC,141,Tier 5,SS,143,106,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,686752,,Ryan Pepiot,TB,142,Tier 5,SP,144,234,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,553993,,Eugenio Suarez,CIN,143,Tier 5,3B,145,53,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,671218,,Heliot Ramos,SF,144,Tier 5,OF,146,160,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,656305,,Matt Chapman,SF,145,Tier 5,3B,147,105,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,805795,,Aidan Miller,PHI,146,Tier 5,SS,148,834,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,701807,,Carson Benge,NYM,147,Tier 5,OF,149,398,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,668909,,Gavin Williams,CLE,148,Tier 5,SP,150,216,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,701398,,Sal Stewart,CIN,149,Tier 5,3B,151,147,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,821270,,Luis Peña,MIL,150,Tier 5,SS,152,2726,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,671056,,Ivan Herrera,STL,151,Tier 5,C,153,90,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,806146,,George Lombard Jr.,NYY,152,Tier 5,SS,155,2556,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,702262,,Jared Jones,PIT,153,Tier 5,SP,156,534,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,673357,,Luis Robert Jr.,NYM,154,Tier 5,OF,157,59,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
FantraxHQ 2026 dynasty rankings,683953,,Travis Bazzana,CLE,155,Tier 5,2B,158,621,fantrax-source,Source-specific ingest uses FantraxHQ when present and baseline fallback otherwise.
