pick_number,round,pick_in_round,team,player_name,player_type,position_bucket,eligible_positions,roster_bucket,current_level,dynasty_rank,adp,injury_status,transaction_status,rationale
11,2,1,Josh V,Kevin McGonigle,hitter,SS,SS/INFIELDER,Minors,MLB,51,45.5,,Number Change,Josh V prioritized long-term ceiling and upside over market conservatism; Kevin McGonigle fit as a ss contributor; dynasty rank 51; market ADP 45.5; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
12,2,2,Greg,Gunnar Henderson,hitter,SS,SS,MLB,MLB,20,14.0,,,Greg prioritized present-year reliability and secure MLB roles; Gunnar Henderson fit as a speed-impact bat; dynasty rank 20; market ADP 14.0; roster construction needed this position fit.
13,2,3,Shane,Ronald Acuna Jr.,hitter,OF,OF,MLB,MLB,3,7.7,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Ronald Acuna Jr. fit as a OBP anchor bat; dynasty rank 3; market ADP 7.7; roster construction needed this position fit."
14,2,4,Josh M,Fernando Tatis Jr.,hitter,OF,OF,MLB,MLB,15,12.0,,,Josh M prioritized portfolio balance and optional roster construction; Fernando Tatis Jr. fit as a speed-impact bat; dynasty rank 15; market ADP 12.0; roster construction needed this position fit.
15,2,5,Paul,Jackson Chourio,hitter,OF,OF,MLB,MLB,12,8.5,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Jackson Chourio fit as a speed-impact bat; dynasty rank 12; market ADP 8.5; roster construction needed this position fit."
16,2,6,Michael,Nick Kurtz,hitter,1B,1B,MLB,MLB,16,11.5,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Nick Kurtz fit as a 1b contributor; dynasty rank 16; market ADP 11.5; roster construction needed this position fit."
17,2,7,Matt,Kyle Tucker,hitter,OF,OF,MLB,MLB,18,16.5,,Signed as Free Agent,"Matt prioritized weekly usability, flexibility, and role-driven edges; Kyle Tucker fit as a OBP anchor bat; dynasty rank 18; market ADP 16.5; roster construction needed this position fit."
18,2,8,Wendell,Tarik Skubal,pitcher,SP,SP,MLB,MLB,5,11.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Tarik Skubal fit as a top-tier ace; dynasty rank 5; market ADP 11.0; despite an early pitching slot."
19,2,9,Rob,Paul Skenes,pitcher,SP,SP,MLB,MLB,6,8.5,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Paul Skenes fit as a top-tier ace; dynasty rank 6; market ADP 8.5; despite an early pitching slot."
20,2,10,Chris,Vladimir Guerrero Jr.,hitter,1B,1B,MLB,MLB,17,19.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Vladimir Guerrero Jr. fit as a OBP anchor bat; dynasty rank 17; market ADP 19.0; roster construction needed this position fit."
21,3,1,Chris,Pete Crow-Armstrong,hitter,OF,OF,MLB,MLB,35,23.5,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Pete Crow-Armstrong fit as a speed-impact bat; dynasty rank 35; market ADP 23.5; roster construction needed this position fit."
22,3,2,Rob,Francisco Lindor,hitter,SS,SS,MLB,MLB,23,27.5,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Francisco Lindor fit as a speed-impact bat; dynasty rank 23; market ADP 27.5; roster construction needed this position fit."
23,3,3,Wendell,Ketel Marte,hitter,2B,2B,MLB,MLB,30,27.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Ketel Marte fit as a 2b contributor; dynasty rank 30; market ADP 27.0; roster construction needed this position fit."
24,3,4,Matt,James Wood,hitter,OF,OF,MLB,MLB,19,22.5,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; James Wood fit as a of contributor; dynasty rank 19; market ADP 22.5; roster construction needed this position fit."
25,3,5,Michael,Jesus Made,hitter,SS,SS/INFIELDER,Minors,AA,52,49.0,,Assigned,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Jesus Made fit as a ss contributor; dynasty rank 52; market ADP 49.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
26,3,6,Paul,Wyatt Langford,hitter,OF,OF,MLB,MLB,28,24.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Wyatt Langford fit as a speed-impact bat; dynasty rank 28; market ADP 24.0; roster construction needed this position fit."
27,3,7,Josh M,Shohei Ohtani,pitcher,SP,SP,MLB,MLB,1,1.1,,,Josh M prioritized portfolio balance and optional roster construction; Shohei Ohtani fit as a top-tier ace; dynasty rank 1; market ADP 1.1; despite an early pitching slot.
28,3,8,Shane,Garrett Crochet,pitcher,SP,SP,MLB,MLB,11,20.5,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Garrett Crochet fit as a top-tier ace; dynasty rank 11; market ADP 20.5; despite an early pitching slot."
29,3,9,Greg,Jazz Chisholm Jr.,hitter,2B,2B/3B,MLB,MLB,26,35.0,,,Greg prioritized present-year reliability and secure MLB roles; Jazz Chisholm Jr. fit as a speed-impact bat; dynasty rank 26; market ADP 35.0; roster construction needed this position fit.
30,3,10,Josh V,Samuel Basallo,hitter,C,C/CATCHER,Minors,MLB,71,80.5,,,Josh V prioritized long-term ceiling and upside over market conservatism; Samuel Basallo fit as a c contributor; dynasty rank 71; market ADP 80.5; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
31,4,1,Josh V,Zach Neto,hitter,SS,SS,MLB,MLB,33,34.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Zach Neto fit as a speed-impact bat; dynasty rank 33; market ADP 34.0; roster construction needed this position fit; position scarcity play at SS pushed the pick up.
32,4,2,Greg,Kyle Schwarber,hitter,OF,DH/OF,MLB,MLB,29,42.5,,,Greg prioritized present-year reliability and secure MLB roles; Kyle Schwarber fit as a of contributor; dynasty rank 29; market ADP 42.5; roster construction needed this position fit.
33,4,3,Shane,CJ Abrams,hitter,SS,SS,MLB,MLB,46,34.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; CJ Abrams fit as a speed-impact bat; dynasty rank 46; market ADP 34.0; roster construction needed this position fit."
34,4,4,Josh M,Roman Anthony,hitter,OF,OF,MLB,MLB,22,17.5,,,Josh M prioritized portfolio balance and optional roster construction; Roman Anthony fit as a of contributor; dynasty rank 22; market ADP 17.5; roster construction needed this position fit.
35,4,5,Paul,Rafael Devers,hitter,1B,1B,MLB,MLB,36,29.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Rafael Devers fit as a 1b contributor; dynasty rank 36; market ADP 29.0; roster construction needed this position fit."
36,4,6,Michael,Jackson Holliday,hitter,SS,2B/SS,MLB,,74,41.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Jackson Holliday fit as a ss contributor; dynasty rank 74; market ADP 41.0; roster construction needed this position fit."
37,4,7,Matt,Yordan Alvarez,hitter,OF,DH/OF,MLB,MLB,31,27.5,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Yordan Alvarez fit as a OBP anchor bat; dynasty rank 31; market ADP 27.5; roster construction needed this position fit."
38,4,8,Wendell,Pete Alonso,hitter,1B,1B,MLB,MLB,32,34.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Pete Alonso fit as a 1b contributor; dynasty rank 32; market ADP 34.0; roster construction needed this position fit."
39,4,9,Rob,Jackson Merrill,hitter,OF,OF,MLB,MLB,43,35.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Jackson Merrill fit as a of contributor; dynasty rank 43; market ADP 35.0; roster construction needed this position fit."
40,4,10,Chris,Yoshinobu Yamamoto,pitcher,SP,SP,MLB,MLB,25,29.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Yoshinobu Yamamoto fit as a sp contributor; dynasty rank 25; market ADP 29.0."
41,5,1,Chris,Riley Greene,hitter,OF,OF,MLB,MLB,38,41.5,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Riley Greene fit as a of contributor; dynasty rank 38; market ADP 41.5; roster construction needed this position fit."
42,5,2,Rob,Bryce Harper,hitter,1B,1B,MLB,MLB,41,45.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Bryce Harper fit as a OBP anchor bat; dynasty rank 41; market ADP 45.0; roster construction needed this position fit."
43,5,3,Wendell,Trea Turner,hitter,SS,SS,MLB,MLB,37,48.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Trea Turner fit as a speed-impact bat; dynasty rank 37; market ADP 48.0; roster construction needed this position fit."
44,5,4,Matt,Hunter Brown,pitcher,SP,SP,MLB,MLB,24,29.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Hunter Brown fit as a sp contributor; dynasty rank 24; market ADP 29.0."
45,5,5,Michael,Sebastian Walcott,hitter,SS,SS/INFIELDER,Minors,AA,65,62.5,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Sebastian Walcott fit as a ss contributor; dynasty rank 65; market ADP 62.5; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
46,5,6,Paul,Cristopher Sanchez,pitcher,SP,SP,MLB,MLB,34,36.5,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Cristopher Sanchez fit as a sp contributor; dynasty rank 34; market ADP 36.5."
47,5,7,Josh M,Manny Machado,hitter,3B,3B,MLB,MLB,44,52.0,,,Josh M prioritized portfolio balance and optional roster construction; Manny Machado fit as a 3b contributor; dynasty rank 44; market ADP 52.0; roster construction needed this position fit.
48,5,8,Shane,Jarren Duran,hitter,OF,OF,MLB,MLB,76,51.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Jarren Duran fit as a speed-impact bat; dynasty rank 76; market ADP 51.0; roster construction needed this position fit."
49,5,9,Greg,George Springer,hitter,OF,OF,MLB,MLB,211,55.0,,,Greg prioritized present-year reliability and secure MLB roles; George Springer fit as a of contributor; dynasty rank 211; market ADP 55.0; roster construction needed this position fit; team OBP build needed reinforcement.
50,5,10,Josh V,Bubba Chandler,pitcher,SP,SP/P/PITCHER,Minors,MLB,121,66.5,,Number Change,Josh V prioritized long-term ceiling and upside over market conservatism; Bubba Chandler fit as a sp contributor; dynasty rank 121; market ADP 66.5; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
51,6,1,Josh V,Max Clark,hitter,OF,OF/OUTFIELDER,Minors,AA,106,63.5,,Assigned,Josh V prioritized long-term ceiling and upside over market conservatism; Max Clark fit as a of contributor; dynasty rank 106; market ADP 63.5; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
52,6,2,Greg,Mookie Betts,hitter,SS,SS,MLB,MLB,45,53.0,,,Greg prioritized present-year reliability and secure MLB roles; Mookie Betts fit as a ss contributor; dynasty rank 45; market ADP 53.0; roster construction needed this position fit; team OBP build needed reinforcement.
53,6,3,Shane,Austin Riley,hitter,3B,3B,MLB,MLB,61,50.5,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Austin Riley fit as a 3b contributor; dynasty rank 61; market ADP 50.5; roster construction needed this position fit."
54,6,4,Josh M,Trevor Story,hitter,SS,SS,MLB,MLB,238,65.0,,,Josh M prioritized portfolio balance and optional roster construction; Trevor Story fit as a speed-impact bat; dynasty rank 238; market ADP 65.0; roster construction needed this position fit.
55,6,5,Paul,Jeremy Pena,hitter,SS,SS,MLB,MLB,60,67.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Jeremy Pena fit as a ss contributor; dynasty rank 60; market ADP 67.0; roster construction needed this position fit."
56,6,6,Michael,Leo De Vries,hitter,SS,SS,Minors,AA,1293,66.5,,Assigned,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Leo De Vries fit as a ss contributor; dynasty rank 1293; market ADP 66.5; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
57,6,7,Matt,Maikel Garcia,hitter,SS,3B/2B/SS/OF,MLB,MLB,78,80.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Maikel Garcia fit as a speed-impact bat; dynasty rank 78; market ADP 80.0; roster construction needed this position fit; position scarcity play at SS pushed the pick up."
58,6,8,Wendell,Logan Gilbert,pitcher,SP,SP,MLB,MLB,27,36.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Logan Gilbert fit as a sp contributor; dynasty rank 27; market ADP 36.0."
59,6,9,Rob,Bryan Woo,pitcher,SP,SP,MLB,MLB,55,41.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Bryan Woo fit as a sp contributor; dynasty rank 55; market ADP 41.0."
60,6,10,Chris,Jac Caglianone,hitter,1B,OF/1B,MLB,MLB,134,57.5,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Jac Caglianone fit as a 1b contributor; dynasty rank 134; market ADP 57.5; roster construction needed this position fit."
61,7,1,Chris,Matt Olson,hitter,1B,1B,MLB,MLB,39,66.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Matt Olson fit as a 1b contributor; dynasty rank 39; market ADP 66.0; roster construction needed this position fit; team OBP build needed reinforcement."
62,7,2,Rob,Brent Rooker,hitter,OF,OF,MLB,MLB,50,70.5,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Brent Rooker fit as a of contributor; dynasty rank 50; market ADP 70.5; roster construction needed this position fit."
63,7,3,Wendell,Freddie Freeman,hitter,1B,1B,MLB,MLB,82,70.5,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Freddie Freeman fit as a 1b contributor; dynasty rank 82; market ADP 70.5; roster construction needed this position fit."
64,7,4,Matt,Josh Naylor,hitter,1B,1B,MLB,MLB,54,75.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Josh Naylor fit as a 1b contributor; dynasty rank 54; market ADP 75.0; roster construction needed this position fit."
65,7,5,Michael,Bryce Eldridge,hitter,1B,DH/1B/INFIELDER,Minors,AAA,103,70.5,,Optioned,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Bryce Eldridge fit as a 1b contributor; dynasty rank 103; market ADP 70.5; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
66,7,6,Paul,Geraldo Perdomo,hitter,SS,SS,MLB,MLB,66,84.5,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Geraldo Perdomo fit as a ss contributor; dynasty rank 66; market ADP 84.5; roster construction needed this position fit; position scarcity play at SS pushed the pick up; team OBP build needed reinforcement."
67,7,7,Josh M,William Contreras,hitter,C,C,MLB,MLB,59,82.0,,,Josh M prioritized portfolio balance and optional roster construction; William Contreras fit as a c contributor; dynasty rank 59; market ADP 82.0; roster construction needed this position fit; team OBP build needed reinforcement.
68,7,8,Shane,Ben Rice,hitter,C,C/1B,MLB,MLB,87,86.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Ben Rice fit as a c contributor; dynasty rank 87; market ADP 86.0; roster construction needed this position fit; team OBP build needed reinforcement."
69,7,9,Greg,Logan Webb,pitcher,SP,SP,MLB,MLB,72,58.0,,,Greg prioritized present-year reliability and secure MLB roles; Logan Webb fit as a sp contributor; dynasty rank 72; market ADP 58.0.
70,7,10,Josh V,Nolan McLean,pitcher,SP,SP/P/PITCHER,Minors,MLB,102,85.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Nolan McLean fit as a sp contributor; dynasty rank 102; market ADP 85.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
71,8,1,Josh V,Travis Bazzana,hitter,2B,2B/INFIELDER,Minors,AAA,155,82.0,,Assigned,Josh V prioritized long-term ceiling and upside over market conservatism; Travis Bazzana fit as a 2b contributor; dynasty rank 155; market ADP 82.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
72,8,2,Greg,Alex Bregman,hitter,3B,3B,MLB,MLB,70,78.0,,Signed as Free Agent,Greg prioritized present-year reliability and secure MLB roles; Alex Bregman fit as a 3b contributor; dynasty rank 70; market ADP 78.0; roster construction needed this position fit.
73,8,3,Shane,Eury Perez,pitcher,SP,SP,MLB,MLB,47,41.0,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Eury Perez fit as a sp contributor; dynasty rank 47; market ADP 41.0."
74,8,4,Josh M,Jacob Wilson,hitter,SS,SS,MLB,MLB,131,78.0,,,Josh M prioritized portfolio balance and optional roster construction; Jacob Wilson fit as a ss contributor; dynasty rank 131; market ADP 78.0; roster construction needed this position fit; position scarcity play at SS pushed the pick up.
75,8,5,Paul,Mason Miller,pitcher,RP,RP,MLB,MLB,49,76.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Mason Miller fit as a late-inning reliever; dynasty rank 49; market ADP 76.0."
76,8,6,Michael,Walker Jenkins,hitter,OF,OF/OUTFIELDER,Minors,AAA,110,95.5,,Assigned,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Walker Jenkins fit as a of contributor; dynasty rank 110; market ADP 95.5; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
77,8,7,Matt,Brice Turang,hitter,SS,2B/SS,MLB,MLB,77,96.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Brice Turang fit as a speed-impact bat; dynasty rank 77; market ADP 96.0; roster construction needed this position fit; position scarcity play at SS pushed the pick up."
78,8,8,Wendell,Andy Pages,hitter,OF,OF,MLB,MLB,100,81.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Andy Pages fit as a of contributor; dynasty rank 100; market ADP 81.0; roster construction needed this position fit."
79,8,9,Rob,Oneil Cruz,hitter,OF,OF,MLB,MLB,94,86.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Oneil Cruz fit as a speed-impact bat; dynasty rank 94; market ADP 86.0; roster construction needed this position fit."
80,8,10,Chris,Lawrence Butler,hitter,OF,OF,MLB,MLB,99,87.0,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Lawrence Butler fit as a of contributor; dynasty rank 99; market ADP 87.0; roster construction needed this position fit."
81,9,1,Chris,Cole Ragans,pitcher,SP,SP,MLB,MLB,48,56.5,,,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Cole Ragans fit as a sp contributor; dynasty rank 48; market ADP 56.5."
82,9,2,Rob,Freddy Peralta,pitcher,SP,SP,MLB,MLB,68,68.0,,Trade,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Freddy Peralta fit as a sp contributor; dynasty rank 68; market ADP 68.0."
83,9,3,Wendell,Joe Ryan,pitcher,SP,SP,MLB,MLB,56,68.5,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Joe Ryan fit as a sp contributor; dynasty rank 56; market ADP 68.5."
84,9,4,Matt,George Kirby,pitcher,SP,SP,MLB,MLB,57,62.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; George Kirby fit as a sp contributor; dynasty rank 57; market ADP 62.0."
85,9,5,Michael,Luis Peña,hitter,SS,SS/INFIELDER,Minors,High-A,150,105.0,,,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Luis Peña fit as a ss contributor; dynasty rank 150; market ADP 105.0; as a minor-league stash; the depth of the prospect fit the manager's deep-minors appetite."
86,9,6,Paul,Max Fried,pitcher,SP,SP,MLB,MLB,58,74.5,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Max Fried fit as a sp contributor; dynasty rank 58; market ADP 74.5."
87,9,7,Josh M,Jacob Misiorowski,pitcher,SP,SP,MLB,MLB,101,58.0,,,Josh M prioritized portfolio balance and optional roster construction; Jacob Misiorowski fit as a sp contributor; dynasty rank 101; market ADP 58.0.
88,9,8,Shane,Vinnie Pasquantino,hitter,1B,1B,MLB,MLB,83,83.5,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Vinnie Pasquantino fit as a 1b contributor; dynasty rank 83; market ADP 83.5; roster construction needed this position fit; team OBP build needed reinforcement."
89,9,9,Greg,Spencer Strider,pitcher,SP,SP,MLB,,75,64.0,,,Greg prioritized present-year reliability and secure MLB roles; Spencer Strider fit as a sp contributor; dynasty rank 75; market ADP 64.0.
90,9,10,Josh V,Sal Stewart,hitter,3B,1B/3B/INFIELDER,Minors,MLB,149,138.0,,,Josh V prioritized long-term ceiling and upside over market conservatism; Sal Stewart fit as a 3b contributor; dynasty rank 149; market ADP 138.0; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
91,10,1,Josh V,Trey Yesavage,pitcher,SP,SP/P/PITCHER,Minors,MLB,132,126.5,,,Josh V prioritized long-term ceiling and upside over market conservatism; Trey Yesavage fit as a sp contributor; dynasty rank 132; market ADP 126.5; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal.
92,10,2,Greg,Seiya Suzuki,hitter,OF,OF,MLB,,64,93.5,,,Greg prioritized present-year reliability and secure MLB roles; Seiya Suzuki fit as a of contributor; dynasty rank 64; market ADP 93.5; roster construction needed this position fit.
93,10,3,Shane,Andres Munoz,pitcher,RP,RP,MLB,MLB,62,98.5,,,"Shane prioritized clear jobs, volume paths, and role-change usability; Andres Munoz fit as a late-inning reliever; dynasty rank 62; market ADP 98.5; team save totals needed attention."
94,10,4,Josh M,Chase Burns,pitcher,SP,SP/P/PITCHER,MLB,MLB,85,55.5,,,Josh M prioritized portfolio balance and optional roster construction; Chase Burns fit as a sp contributor; dynasty rank 85; market ADP 55.5.
95,10,5,Paul,Devin Williams,pitcher,RP,RP,MLB,MLB,160,97.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Devin Williams fit as a late-inning reliever; dynasty rank 160; market ADP 97.0."
96,10,6,Michael,Colt Emerson,hitter,SS,SS/INFIELDER,Minors,AAA,90,154.5,,Assigned,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Colt Emerson fit as a ss contributor; dynasty rank 90; market ADP 154.5; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
97,10,7,Matt,Jhoan Duran,pitcher,RP,RP,MLB,MLB,88,107.5,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Jhoan Duran fit as a late-inning reliever; dynasty rank 88; market ADP 107.5; team save totals needed attention."
98,10,8,Wendell,Corey Seager,hitter,SS,SS,MLB,MLB,63,88.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Corey Seager fit as a ss contributor; dynasty rank 63; market ADP 88.0; roster construction needed this position fit."
99,10,9,Rob,Agustin Ramirez,hitter,C,C,MLB,MLB,89,108.0,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Agustin Ramirez fit as a c contributor; dynasty rank 89; market ADP 108.0; roster construction needed this position fit."
100,10,10,Chris,Bo Bichette,hitter,SS,SS,MLB,MLB,67,90.5,,Signed as Free Agent,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Bo Bichette fit as a ss contributor; dynasty rank 67; market ADP 90.5; roster construction needed this position fit; team OBP build needed reinforcement."
101,11,1,Chris,Cody Bellinger,hitter,OF,OF,MLB,MLB,69,100.5,,Signed as Free Agent,"Chris prioritized consensus support across dynasty rank, ADP, and roster balance; Cody Bellinger fit as a of contributor; dynasty rank 69; market ADP 100.5; roster construction needed this position fit; team OBP build needed reinforcement."
102,11,2,Rob,Jo Adell,hitter,OF,OF,MLB,MLB,137,100.5,,,"Rob prioritized ratio protection and downside control in OBP, ERA, and WHIP; Jo Adell fit as a of contributor; dynasty rank 137; market ADP 100.5; roster construction needed this position fit."
103,11,3,Wendell,Taylor Ward,hitter,OF,OF,MLB,MLB,209,102.0,,,"Wendell prioritized track record, market comfort, and familiar MLB certainty; Taylor Ward fit as a of contributor; dynasty rank 209; market ADP 102.0; roster construction needed this position fit."
104,11,4,Matt,Jordan Westburg,hitter,2B,3B/2B,MLB,,96,104.0,,,"Matt prioritized weekly usability, flexibility, and role-driven edges; Jordan Westburg fit as a 2b contributor; dynasty rank 96; market ADP 104.0; roster construction needed this position fit; position scarcity play at 3B pushed the pick up."
105,11,5,Michael,Josue De Paula,hitter,OF,OF/CF/OUTFIELDER,Minors,AA,187,122.5,,Assigned,"Michael prioritized age-adjusted growth, minors value, and long-horizon assets; Josue De Paula fit as a of contributor; dynasty rank 187; market ADP 122.5; as a minor-league stash; closer-to-MLB proximity still fit the manager's prospect plan; upper-minors proximity improved the stash appeal."
106,11,6,Paul,Randy Arozarena,hitter,OF,OF,MLB,MLB,107,110.0,,,"Paul prioritized category leverage in OBP, speed, saves, and point swings; Randy Arozarena fit as a speed-impact bat; dynasty rank 107; market ADP 110.0; roster construction needed this position fit."
107,11,7,Josh M,Kyle Stowers,hitter,OF,OF,MLB,,105,89.5,,,Josh M prioritized portfolio balance and optional roster construction; Kyle Stowers fit as a of contributor; dynasty rank 105; market ADP 89.5; roster construction needed this position fit.
